split,old_name,new_name,source_path,target_path,width,height,processor
style,style_0001.jpg,style_0001.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0001.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0001.jpg,960,960,normalize_style_image
style,style_0002.jpg,style_0002.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0002.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0002.jpg,960,960,normalize_style_image
style,style_0005.jpg,style_0003.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0005.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0003.jpg,960,960,normalize_style_image
style,style_0006.jpg,style_0004.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0006.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0004.jpg,960,960,normalize_style_image
style,style_0008.jpg,style_0005.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0008.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0005.jpg,960,960,normalize_style_image
style,style_0011.jpg,style_0006.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0011.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0006.jpg,960,960,normalize_style_image
style,style_0013.jpg,style_0007.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0013.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0007.jpg,960,960,normalize_style_image
style,style_0017.jpg,style_0008.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0017.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0008.jpg,960,960,normalize_style_image
style,style_0018.jpg,style_0009.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0018.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0009.jpg,960,960,normalize_style_image
style,style_0020.jpg,style_0010.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0020.jpg,E:\Workspace_Codex\project002-chinese-ppcut-ppeb\data\ChinesePaperCutting\style_0010.jpg,960,960,normalize_style_image
